TT,07,27,21,19,38,39,982650
[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 52229
[INFO: Main      ] Link-layer address: 0012.4b00.0f1b.cc05
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:f1b:cc05
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
inicio:19282
Press a button to request /test/hello
EC,1021,   0,   0,1021
ER,1012,   0,   8
ep: coap://[fd00::212:4b00:1204:dc39], 0, 24
si1
seguro 1: 756234
i,39799,756336,756350
|termometer
es un termometro
allconected=1
EC,2010,  11,   0,2021
ER,2012,   1,   8
ep: coap://[fd00::212:4b00:a55:dd05], 0, 23
si1
seguro 2: 1446308
i,39800,1446416,1446430
|oximeter
es un oximetro jeje
n,39801,1453808,1453824
allconected=2
o,4,39801,1461452
o,4,20807,1462664
o,4,20808,1465052
o,4,20809,1466238
o,4,20810,1466478
o,4,20811,1480964
o,4,20812,1483942
o,4,20813,1485186
o,4,20814,1488266
o,4,20815,1490322
o,4,20816,1492886
o,4,20817,1493124
o,4,20818,1493364
o,4,20821,1493604
o,4,20822,1495426
o,4,20823,1499418
o,4,20824,1500544
o,4,20825,1502594
n,20826,1503562,1503578
3,4,20826,1503720
o,4,20827,1510810
o,4,20828,1514922
o,4,20829,1515430
o,4,20830,1516710
o,4,20833,1519032
o,4,20834,1519542
o,4,20836,1529810
o,4,20837,1536740
o,4,20841,1542048
o,4,20842,1543072
o,4,20844,1545132
o,4,20845,1546672
n,20846,1551810,1551826
3,4,20846,1551968
o,4,20847,1554372
o,4,20852,1555396
o,4,20858,1558480
o,4,20860,1560542
o,4,20861,1562080
o,4,20863,1564646
o,4,20864,1565680
o,4,20867,1572864
o,4,20869,1575428
o,4,20870,1576970
o,4,20871,1579876
o,4,20872,1582474
o,4,20873,1582710
o,4,20874,1582950
o,4,20875,1584004
o,4,20876,1585544
o,4,20877,1588106
o,4,20879,1602434
o,4,20880,1602942
o,4,20881,1603452
o,4,20883,1612640
o,4,20884,1614166
n,20886,1616232,1616248
3,4,20886,1616390
o,4,20887,1619456
o,4,20888,1620996
o,4,20899,1623768
o,4,20901,1624012
o,4,20902,1625930
o,4,20907,1629514
o,4,20909,1630594
o,4,20910,1631626
o,4,20911,1635214
o,4,20912,1635672
o,4,20914,1638274
o,4,20915,1638788
o,4,20916,1640780
o,4,20917,1644364
o,4,20918,1645952
o,4,20919,1648986
o,4,20921,1651592
o,4,20922,1651830
o,4,20923,1652612
o,4,20924,1653638
o,4,20925,1657756
n,20926,1661312,1661328
3,4,20926,1661470
o,4,20927,1662844
o,4,20928,1665434
o,4,20929,1666456
o,4,20931,1668514
o,4,20932,1676622
o,4,20933,1679704
o,4,20936,1682602
o,4,20938,1683574
o,4,20939,1686868
o,4,20940,1687112
o,4,20942,1693566
o,4,20943,1698704
o,4,20944,1700760
n,20946,1702300,1702316
3,4,20946,1702458
o,4,20947,1702808
o,4,20948,1704352
o,4,20949,1704866
o,4,20950,1705112
o,4,20953,1708716
o,4,20955,1709438
o,4,20956,1711500
o,4,20958,1712520
o,4,20959,1715602
o,4,20960,1720246
o,4,20961,1720488
o,4,20962,1720736
o,4,20963,1723560
o,4,20968,1725834
o,4,20969,1726078
o,4,20971,1726326
o,4,20974,1727358
o,4,20976,1736406
o,4,20977,1738112
o,4,20978,1738354
o,4,20979,1740166
o,4,20980,1742732
o,4,20981,1745306
o,4,20982,1747702
o,4,20983,1748354
n,20866,1834980,1834996
3,4,20866,1835140
o,4,21054,1844226
o,4,21055,1844470
o,4,21056,1847988
o,4,21057,1848232
o,4,21058,1850050
o,4,21059,1851774
o,4,21060,1852598
o,4,21061,1853826
o,4,21062,1856394
o,4,21063,1859800
o,4,21064,1862534
o,4,21065,1864070
o,4,21066,1866642
o,4,21067,1867664
o,4,21068,1871616
o,4,21069,1872770
o,4,21070,1875108
o,4,21071,1878408
o,4,21072,1878920
n,21073,1882006,1882020
3,4,21073,1882164
o,4,21085,1889178
o,4,21086,1893712
o,4,21087,1897302
o,4,21088,1898364
o,4,21089,1900900
o,4,21090,1903494
o,4,21091,1906056
o,4,21092,1907084
o,4,21093,1907326
o,4,21094,1908090
o,4,21095,1911000
o,4,21096,1918790
o,4,21097,1921716
o,4,21098,1923458
o,4,21099,1925312
o,4,21100,1925556
n,20906,1927038,1927054
3,4,20906,1927196
o,4,21101,1930126
o,4,21102,1934516
o,4,21103,1937594
n,21104,1939842,1939856
3,4,21104,1940000
o,4,21112,1942126
o,4,21113,1944688
n,20966,1945712,1945728
3,4,20966,1945870
o,4,21114,1948286
o,4,21115,1949568
o,4,21116,1952648
o,4,21117,1954698
o,4,21118,1957272
o,4,21119,1957780
o,4,21120,1960862
o,4,21121,1961104
o,4,21122,1963684
o,4,21123,1965444
o,4,21124,1968016
o,4,21125,1968524
o,4,21130,1969038
n,21131,1974958,1974974
3,4,21131,1975116
o,4,21132,1975690
o,4,21133,1977226
o,4,21134,1977734
o,4,21135,1980310
o,4,21136,1983882
EC,2997,  24,   0,3022
ER,3009,   4,   8
o,4,21137,1986438
o,4,21138,1986680
o,4,21139,1988990
o,4,21140,1991556
o,4,21141,1994404
o,4,21142,1996676
o,4,21143,2000044
o,4,21144,2002830
o,4,21147,2003076
o,4,21148,2005890
o,4,21149,2009270
o,4,21152,2009978
o,4,21154,2013062
o,4,21155,2013574
o,4,21156,2015118
o,4,21157,2017176
o,4,21158,2019028
o,4,21159,2022108
o,4,21160,2023300
o,4,21161,2024838
o,4,21162,2027400
o,4,21163,2028428
o,4,21164,2031000
o,4,21165,2031246
o,4,21166,2031994
o,4,21167,2038156
o,4,21168,2039694
o,4,21169,2041236
o,4,21170,2041664
n,21171,2043802,2043818
,4,21171,2043960
o,4,21172,2047922
o,4,21173,2050734
o,4,21178,2053508
o,4,21182,2053752
o,4,21184,2056380
o,4,21185,2059976
o,4,21186,2063570
o,4,21187,2065276
o,4,21188,2065792
o,4,21190,2066038
n,21191,2068874,2068890
,4,21191,2069032
o,4,21193,2070418
o,4,21194,2075038
o,4,21196,2079140
o,4,21198,2080684
